   64.5946    0.0000   55    1    1    65  0.0000
   64.2761    0.0005    0.1000  240.8587 4.3506e-06  1.2715e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   56.4113    0.0004    0.3025  252.5765 4.3973e-06  1.8738e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   54.2534    0.0004    0.4050  257.7122 4.4058e-06  2.3339e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   52.4712    0.0004    0.5150  261.4442 4.4215e-06  3.0877e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   49.8094    0.0004    0.7300  263.5382 4.4305e-06  4.2967e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   46.6642    0.0005    1.1250  257.9042 4.3980e-06  6.3001e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   41.6082    0.0014    2.1500  249.2404 4.3142e-06  8.3479e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   38.7275    0.0042    3.1750  243.6551 4.2019e-06  9.0960e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   36.7141    0.0090    4.2000  239.1735 4.0763e-06  8.8166e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   34.9374    0.0193    5.4500  234.2264 3.9189e-06  8.0114e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   32.5460    0.0467    7.7500  229.1829 3.7294e-06  6.9547e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   29.4869    0.1283   12.7500  225.3291 3.5170e-06  6.0848e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   25.3730    0.2894   23.0000  223.4854 3.3271e-06  5.3574e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   22.9056    0.4319   33.2500  223.1649 3.1954e-06  4.6246e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   21.1282    0.5394   43.5000  223.5835 3.0637e-06  4.0666e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   19.3520    0.6128   57.5000  224.2969 2.9713e-06  3.3000e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   17.0337    0.8125   82.0000  224.9867 3.2950e-06  2.0065e-06    0.0000    0.0000   0.0000    0.0000    0.0000
   14.4894    1.3584  121.2500  226.0520 4.8172e-06  9.2962e-07    0.0000    0.0000   0.0000    0.0000    0.0000
   12.0915    2.7920  172.5000  225.9294 9.7382e-06  4.9275e-07    0.0000    0.0000   0.0000    0.0000    0.0000
   10.3379   14.4369  223.7500  222.8711 1.8294e-05  2.9496e-07    0.0000    0.0000   0.0000    0.0000    0.0000
    8.9759   41.8924  275.0000  220.8187 3.1777e-05  1.3644e-07    0.0000    0.0000   0.0000    0.0000    0.0000
    7.8696   66.5708  326.2500  223.2400 5.8750e-05  6.5916e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    6.9145   84.5455  377.5000  227.8268 1.0524e-04  4.9471e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    6.0633   95.9925  428.7500  233.1729 1.8872e-04  4.7699e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    5.2913   99.3497  480.0000  239.0176 3.2205e-04  4.5412e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    4.5802   99.9933  531.2500  244.0453 4.8248e-04  4.1956e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    3.9209   99.9602  582.5000  247.9571 6.4670e-04  3.9623e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    3.3075   99.7799  633.7500  251.3551 8.2970e-04  3.8867e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    2.7346   99.1758  685.0000  254.0532 1.0067e-03  3.8724e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    2.3807   98.4652  718.1250  255.8680 1.1481e-03  3.8558e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    2.1178   97.7686  743.7500  257.3045 1.2689e-03  3.8970e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    1.8624   96.8268  769.3750  258.3747 1.3143e-03  4.2898e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    1.6143   90.9250  795.0000  259.1096 1.2378e-03  5.1462e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    1.3734   79.2264  820.6250  259.9300 1.1202e-03  5.9374e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    1.1393   68.0956  846.2500  260.6259 1.0972e-03  6.3038e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    0.9114   71.4071  871.8750  260.3376 1.2240e-03  6.1256e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    0.6905   94.1141  897.5000  260.0204 1.3615e-03  5.8043e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    0.4762   99.0052  923.1250  260.9753 1.4337e-03  5.7388e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    0.2668   92.7846  948.7500  262.3960 1.4576e-03  5.7252e-08    0.0000    0.0000   0.0000    0.0000    0.0000
    0.0616   84.1137  974.3750  263.2333 1.4478e-03  5.7210e-08    0.0000    0.0000   0.0000    0.0000    0.0000
   -0.0100   83.9001  985.1857

